id,neighborhood,category,name,street_address,city,state,zip,phone,website,hours,notes,full_address,latitude,longitude,geocode_provider,geocode_display_name,geocode_confidence_note,geocode_timestamp_utc
1,ALLSTON/BRIGHTON,FOOD PANTRIES,Allston-Brighton APAC,406 Cambridge St,Allston,MA,02134,(617) 783-1485,,"Mon - Fri, 10am - 2pm",,"406 Cambridge St, Allston, MA 02134",42.3548127,-71.133722,openstreetmap_nominatim,"Allston Brighton APAC, 406, Cambridge Street, Union Square, Allston, Boston, Suffolk County, Massachusetts, 02134, United States",Top Nominatim match,2026-02-21T22:24:28.462661+00:00
2,ALLSTON/BRIGHTON,FOOD PANTRIES,Allston-Brighton,404 Washington St,Brighton,MA,02135,(617) 254-4046,,"2nd & 4th Sat, 10am - 1pm",Congregational Church,"404 Washington St, Brighton, MA 02135",42.3488064,-71.1551466,openstreetmap_nominatim,"404, Washington Street, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:29.598394+00:00
2,ALLSTON/BRIGHTON,MEAL SITES,Allston-Brighton,404 Washington St,Brighton,MA,02135,(617) 254-4046,,Wed 6pm,Congregational Church | SNAP APPLICATION | ASSISTANCE,"404 Washington St, Brighton, MA 02135",42.3488064,-71.1551466,openstreetmap_nominatim,"404, Washington Street, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Cached result,2026-02-21T22:24:30.603601+00:00
3,ALLSTON/BRIGHTON,FOOD PANTRIES,ABCD/Allston Brighton,640 Washington St,Brighton,MA,02135,(617) 903-3640,,,,"640 Washington St, Brighton, MA 02135",42.3506757,-71.1691307,openstreetmap_nominatim,"Presentation School Foundation (PSF) Community Center, 640, Washington Street, Oak Square, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:30.679693+00:00
4,ALLSTON/BRIGHTON,MEAL SITES,ABCD Allston-Brighton NOC,"640 Washington St, Suite 203",Brighton,MA,02135,(617) 903-3640,,,FARMERS MARKETS | ACCEPTING SNAP/HIP,"640 Washington St, Suite 203, Brighton, MA 02135",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:24:31.762063+00:00
5,ALLSTON/BRIGHTON,MEAL SITES,Oak Square Farmers Market,"Parking Lot, 640 Washington St",Brighton,MA,02135,,,"Wed 4 - 7pm, June 6 - Sept 26",Presentation School Foundation,"Parking Lot, 640 Washington St, Brighton, MA 02135",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:24:32.847316+00:00
6,ALLSTON/BRIGHTON,SENIOR DINING SITES,Ethos Brighton Veronica B.,20 Chestnut Hill Ave,Boston,MA,02135,(617) 522-6700,,"Mon - Fri, 11:30am - 1pm",Smith Senior Ctr.,"20 Chestnut Hill Ave, Boston, MA 02135",42.3482251,-71.1532915,openstreetmap_nominatim,"20, Chestnut Hill Avenue, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:33.926541+00:00
7,ALLSTON/BRIGHTON,SENIOR DINING SITES,Ethos Brighton Covenant House,30 Washington St,Brighton,MA,02135,(617) 522-6700,,Tue 5:15 - 6:15pm,,"30 Washington St, Brighton, MA 02135",42.3428787,-71.1420706,openstreetmap_nominatim,"30, Washington Street, Aberdeen, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:35.007435+00:00
8,ALLSTON/BRIGHTON,SENIOR DINING SITES,GBCGAC Brighton House,677 Cambridge St,Brighton,MA,02135,(617) 789-4289,,"Mon - Fri, 11am - 1pm",,"677 Cambridge St, Brighton, MA 02135",42.3510374,-71.1456285,openstreetmap_nominatim,"677, Cambridge Street, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:36.106548+00:00
9,BACK BAY/FENWAY,FOOD PANTRIES,Friday Night Supper,351 Boylston St,Boston,MA,02116,(617) 536-7050,,,,"351 Boylston St, Boston, MA 02116",42.3520176,-71.0712834,openstreetmap_nominatim,"Arlington Street Church, 351, Boylston Street, Block A, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:37.202908+00:00
9,BACK BAY/FENWAY,MEAL SITES,Friday Night Supper,351 Boylston St,Boston,MA,02116,(617) 536-7050 ext. 22,,Fri 5 - 7pm,FARMERS MARKETS | ACCEPTING SNAP/HIP,"351 Boylston St, Boston, MA 02116",42.3520176,-71.0712834,openstreetmap_nominatim,"Arlington Street Church, 351, Boylston Street, Block A, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Cached result,2026-02-21T22:24:38.207818+00:00
10,BACK BAY/FENWAY,MEAL SITES,Women’s Lunch Place (women only),67 Newbury St,Boston,MA,02116,(617) 267-0200,,,,"67 Newbury St, Boston, MA 02116",42.3521713,-71.0739726,openstreetmap_nominatim,"Church of the Covenant, 67, Newbury Street, Block B, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:38.279887+00:00
11,BACK BAY/FENWAY,MEAL SITES,Boston Living Ctr.,29 Stanhope St,Boston,MA,02116,(617) 236-1012,,Mon - Fri,,"29 Stanhope St, Boston, MA 02116",42.3485372,-71.0730371,openstreetmap_nominatim,"Victory Programs, 29, Stanhope Street, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:39.355645+00:00
12,BACK BAY/FENWAY,MEAL SITES,Copley Square Farmers Market,560 Boylston St. Boston,,MA,,,,"Tue & Fri, 11am - 6pm",May 11 - Nov 20,"560 Boylston St. Boston, MA 02116",42.3499672,-71.0770218,openstreetmap_nominatim,"BosTix Booth, 560, Boylston Street, Block C, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:40.431623+00:00
13,BACK BAY/FENWAY,SENIOR DINING SITES,Ethos Back Bay at,15 Newbury St,Boston,MA,02116,(617) 522-6700,,Thu 11:30am - 2pm,Emmanuel Church (LGBT),"15 Newbury St, Boston, MA 02116",42.3526118,-71.0724036,openstreetmap_nominatim,"Emmanuel Church, 15, Newbury Street, Block A, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:41.508787+00:00
14,BACK BAY/FENWAY,SENIOR DINING SITES,Kit Clark at Morville,100 Norway St,Boston,MA,02115,(617) 825-5000,,"Mon - Fri, 11am - 1pm",AFFORDABLE FRUIT & | VEGETABLE SOURCES,"100 Norway St, Boston, MA 02115",42.3449403,-71.0881239,openstreetmap_nominatim,"100;112, Norway Street, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States",Top Nominatim match,2026-02-21T22:24:42.622217+00:00
15,BACK BAY/FENWAY,SENIOR DINING SITES,"Fair Foods at St. Botolph House,",70 St Botolph St,Boston,MA,02116,,,Thu 1 - 2pm,,"70 St Botolph St, Boston, MA 02116",42.345541,-71.0797398,openstreetmap_nominatim,"70, Saint Botolph Street, Back Bay, Boston, Suffolk County, Massachusetts, 02199, United States",Top Nominatim match,2026-02-21T22:24:43.740438+00:00
16,BACK BAY/FENWAY,SENIOR DINING SITES,Fair Foods at,165 Park Drive,Boston,MA,02215,,,"Alt. Wed, 3 - 5pm",Holy Trinity Orthodox Cathedral,"165 Park Drive, Boston, MA 02215",42.3411032,-71.0989059,openstreetmap_nominatim,"Holy Trinity Orthodox Cathedral, 165, Park Drive, Fenway, Boston, Suffolk County, Massachusetts, 02215, United States",Top Nominatim match,2026-02-21T22:24:44.822458+00:00
17,CHARLESTOWN,FOOD PANTRIES,The Harvest on Vine,49 Vine St,Charlestown,MA,02129,(617) 337-3545,,,FARMERS MARKETS | ACCEPTING SNAP/HIP,"49 Vine St, Charlestown, MA 02129",42.3772396,-71.0568518,openstreetmap_nominatim,"49, Vine Street, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",Top Nominatim match,2026-02-21T22:24:45.904628+00:00
18,CHARLESTOWN,FOOD PANTRIES,Charlestown Farmers Market,Boston,,MA,,,,"Wed, 2 - 7pm, June 20 - Oct 24","Austin St & Main St,","Boston, MA 02129",42.3588336,-71.0578303,openstreetmap_nominatim,"Boston, Suffolk County, Massachusetts, United States",Top Nominatim match,2026-02-21T22:24:46.979737+00:00
19,CHARLESTOWN,SENIOR DINING SITES,Kit Clark Charlestown,382 Main St,Charlestown,MA,02129,(617) 825-5000,,"Tue, Wed & Fri, 11am - 1pm",,"382 Main St, Charlestown, MA 02129",42.3797659,-71.0699015,openstreetmap_nominatim,"382, Main Street, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",Top Nominatim match,2026-02-21T22:24:48.059827+00:00
20,CHARLESTOWN,SENIOR DINING SITES,Kit Clark Charlestown Ferrin,100 Ferrin St,Charlestown,MA,02129,(617) 825-5000,,"Mon - Fri, 11am - 1pm",AFFORDABLE FRUIT | & VEGETABLE SOURCES,"100 Ferrin St, Charlestown, MA 02129",42.3775178,-71.0590268,openstreetmap_nominatim,"100, Ferrin Street, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",Top Nominatim match,2026-02-21T22:24:49.138719+00:00
21,CHARLESTOWN,SENIOR DINING SITES,Fresh Truck BHA & Newtown,150 Medford St. Charlestown,,MA,,,,"Mon 12 - 2pm, Thu 3 - 6pm",,"150 Medford St. Charlestown, MA 02129",42.3793486,-71.0584054,openstreetmap_nominatim,"150, Medford Street, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",Top Nominatim match,2026-02-21T22:24:50.224281+00:00
22,CHARLESTOWN,SENIOR DINING SITES,Fairs Foods at The Kennedy Center,55 Bunker Hill St,Charlestown,MA,02129,,,Thu 2 - 3:30pm,,"55 Bunker Hill St, Charlestown, MA 02129",42.3773845,-71.0571894,openstreetmap_nominatim,"Boston Housing Authority Administrative Offices Charlestown, 55, Bunker Hill Street, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",Top Nominatim match,2026-02-21T22:24:51.311941+00:00
23,CHINATOWN,FOOD PANTRIES,Boston Rescue Mission,39 Kingston St,Boston,MA,02111,(617) 338-9000,,,,"39 Kingston St, Boston, MA 02111",42.3531435,-71.0592553,openstreetmap_nominatim,"39, Kingston Street, Church Green, Downtown Boston, Boston, Suffolk County, Massachusetts, 02111, United States",Top Nominatim match,2026-02-21T22:24:52.389266+00:00
23,CHINATOWN,MEAL SITES,Boston Rescue Mission,39 Kingston St,Boston,MA,02111,(617) 338-9000,,,SNAP APPLICATION | ASSISTANCE,"39 Kingston St, Boston, MA 02111",42.3531435,-71.0592553,openstreetmap_nominatim,"39, Kingston Street, Church Green, Downtown Boston, Boston, Suffolk County, Massachusetts, 02111, United States",Cached result,2026-02-21T22:24:53.393793+00:00
24,CHINATOWN,MEAL SITES,ABCD Asian American,87 Tyler St,Boston,MA,02111,(617) 426-9492,,,Civic Association,"87 Tyler St, Boston, MA 02111",42.3488736,-71.0617104,openstreetmap_nominatim,"87, Tyler Street, Chinatown, Boston, Suffolk County, Massachusetts, 02111, United States",Top Nominatim match,2026-02-21T22:24:53.462818+00:00
25,CHINATOWN,MEAL SITES,GBCGAC Chinatown,25 Essex St,Boston,MA,02111,(617) 936-3966,,"Mon - Fri, 11am - 1pm",Hong Lok House,"25 Essex St, Boston, MA 02111",42.3523865,-71.061609,openstreetmap_nominatim,"25, Essex Street, Downtown Crossing, Downtown Boston, Boston, Suffolk County, Massachusetts, 02111, United States",Top Nominatim match,2026-02-21T22:24:54.530196+00:00
26,CHINATOWN,MEAL SITES,GBCGAC Chinatown Quincy Tower,5 Oak St West,Boston,MA,02116,(617) 423-7560,,"Mon - Fri, 11am - 1pm",,"5 Oak St West, Boston, MA 02116",42.3485005,-71.0653776,openstreetmap_nominatim,"5, Oak Street West, Chinatown, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:55.793081+00:00
27,DORCHESTER,FOOD PANTRIES,Codman Square Food Pantry,378A Washington Street,Dorchester,MA,02124,(617) 825-9660,,Tue 8:30 - 10:30am,,"378A Washington Street, Dorchester, MA 02124",42.2984016,-71.0726345,openstreetmap_nominatim,"378A, Washington Street, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 02212, United States",Top Nominatim match,2026-02-21T22:24:56.876159+00:00
28,DORCHESTER,FOOD PANTRIES,Eglise Baptiste Haitienne,1 Dix St,Dorchester,MA,02122,(617) 287-8351,,"1st & 2nd Wed, 6pm - food runs out",,"1 Dix St, Dorchester, MA 02122",42.295011,-71.061486,openstreetmap_nominatim,"1, Dix Street, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:24:58.002972+00:00
29,DORCHESTER,SENIOR DINING SITES,Dorchester House Health,1353 Dorchester Ave,Dorchester,MA,02122,(617) 288-3230,,Tue 8:30 - 10:30am,AFFORDABLE FRUIT & | VEGETABLE SOURCES,"1353 Dorchester Ave, Dorchester, MA 02122",42.3044555,-71.0596299,openstreetmap_nominatim,"DotHouse Health, 1353, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:24:59.105117+00:00
29,DORCHESTER,FOOD PANTRIES,Dorchester House Health,1353 Dorchester Ave,Dorchester,MA,02122,(617) 288-3230,,Wed 8 - 10am,,"1353 Dorchester Ave, Dorchester, MA 02122",42.3044555,-71.0596299,openstreetmap_nominatim,"DotHouse Health, 1353, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Cached result,2026-02-21T22:25:00.111086+00:00
30,DORCHESTER,FOOD PANTRIES,Neponset Health Center,398 Neponset Ave,Dorchester,MA,02122,(617) 282-3200,,Tue 8 - 11am,,"398 Neponset Ave, Dorchester, MA 02122",42.2867644,-71.0440281,openstreetmap_nominatim,"398, Neponset Avenue, Neponset, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:25:00.182737+00:00
31,DORCHESTER,FOOD PANTRIES,Harvard Street,895 Blue Hill Ave,Dorchester,MA,02124,(617) 825-3400,,,Neighborhood Health Ctr.,"895 Blue Hill Ave, Dorchester, MA 02124",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:25:01.372654+00:00
32,DORCHESTER,FOOD PANTRIES,Holy Tabernacle Church,70 Washington St,Dorchester,MA,02121,(617) 427-8022,,Fri 9am - 3:30pm,,"70 Washington St, Dorchester MA 02121",42.2973478,-71.07182,openstreetmap_nominatim,"70, Washington Street, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Top Nominatim match,2026-02-21T22:25:02.455976+00:00
33,DORCHESTER,FOOD PANTRIES,Catholic Charities/ Yawkey Center,185 Columbia Rd,Dorchester,MA,02121,(617) 506-6600,,,,"185 Columbia Rd, Dorchester MA 02121",42.3097991,-71.0726848,openstreetmap_nominatim,"Columbia Road, Grove Hall, Roxbury, Boston, Suffolk County, Massachusetts, 02121, United States",Top Nominatim match,2026-02-21T22:25:03.769652+00:00
34,DORCHESTER,FOOD PANTRIES,Greater Anointing Church,20 Charlotte St,Dorchester,MA,02121,(781) 535-4837,,2nd Sat 10am - 12pm,,"20 Charlotte St, Dorchester MA 02121",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:25:04.851416+00:00
35,DORCHESTER,FOOD PANTRIES,Faith Pentecostal Church,301 Harvard St,Dorchester Center,MA,02124,(617) 265-5700,,Alt. Fri 1 - 3pm,,"301 Harvard St, Dorchester Center, MA 02124",42.2967134,-71.0788733,openstreetmap_nominatim,"Harvard Street, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 02121, United States",Top Nominatim match,2026-02-21T22:25:05.939476+00:00
36,DORCHESTER,FOOD PANTRIES,Salvation Army/,650 Dudley St,Dorchester,MA,02125,(617) 318-6936,,"Tue, Wed & Thu, 9:45am - 12pm",Boston Kroc Center,"650 Dudley St, Dorchester, MA 02125",42.3184634,-71.0686439,openstreetmap_nominatim,"650, Dudley Street, Uphams Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:07.023691+00:00
37,DORCHESTER,FOOD PANTRIES,Pilgrim Church,540 Columbia Rd,Dorchester,MA,02125,(617) 282-0456,,Wed 10am - 12pm,,"540 Columbia Rd, Dorchester, MA 02125",42.3148048,-71.0669461,openstreetmap_nominatim,"540, Columbia Road, Uphams Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:08.106359+00:00
38,DORCHESTER,FOOD PANTRIES,USCCB/Blessed Mother,800 Columbia Rd,Dorchester,MA,02125,(617) 436-2190,St.Teresa,"Thu 11am - 1pm, Sat 9 - 11am",,"800 Columbia Rd, Dorchester, MA 02125",42.320931,-71.0573839,openstreetmap_nominatim,"Blessed Mother Teresa, 800, Columbia Road, Uphams Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:09.189859+00:00
39,DORCHESTER,FOOD PANTRIES,Boys and Girls Club of,35 Deer St,Dorchester,MA,02125,(617) 288-7120,,,Dorchester (kids only) | FARMERS MARKETS | ACCEPTING SNAP/HIP,"35 Deer St, Dorchester, MA 02125",42.3116028,-71.0585375,openstreetmap_nominatim,"Boys and Girls Club of Dorchester Colonel Daniel Marr Clubhouse, 35, Deer Street, Savin Hill, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:10.273409+00:00
40,DORCHESTER,FOOD PANTRIES,Ashmont Farmers Market,1900 Dorchester Ave,Dorchester,MA,02124,,,"Fri, 3 - 7pm, June 29 - Oct 10",,"1900 Dorchester Ave, Dorchester, MA 02124",42.2865368,-71.0639595,openstreetmap_nominatim,"1900, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Top Nominatim match,2026-02-21T22:25:11.372347+00:00
41,DORCHESTER,FOOD PANTRIES,Bowdoin Geneva Farm Stand,230 Bowdoin St,Dorchester,MA,02122,,,"Thu 1 - 5pm, June 29 – Oct 25",,"230 Bowdoin St, Dorchester, MA 02122",42.305687,-71.067846,openstreetmap_nominatim,"230, Bowdoin Street, Mount Ida, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:25:12.450626+00:00
42,DORCHESTER,FOOD PANTRIES,Codman Square Farmers Market,360 Talbot Ave,Dorchester,MA,02124,,,"Sat 11am - 2pm, June 28 - Sep 29",Social Saturdays Codman Square Park,"360 Talbot Ave, Dorchester, MA 02124",42.2901981,-71.0705524,openstreetmap_nominatim,"360, Talbot Avenue, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Top Nominatim match,2026-02-21T22:25:13.536992+00:00
43,DORCHESTER,FOOD PANTRIES,DotHouse Health Farmers Market,1353 Dorchester Ave,Dorchester,MA,02122,,,"Tue 11:30am - 1:30pm, July 3 - Oct 9",,"1353 Dorchester Ave, Dorchester, MA 02122",42.3044555,-71.0596299,openstreetmap_nominatim,"DotHouse Health, 1353, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Cached result,2026-02-21T22:25:14.544099+00:00
44,DORCHESTER,FOOD PANTRIES,Fields Corner Farmers Market,Dorchester,,MA,,,,"Sat 9am - 12pm, July 14 - Oct 27","Park St & Dorchester Ave, | Fields Corner Shopping Mall","Dorchester, MA 02122",42.2973205,-71.0744952,openstreetmap_nominatim,"Dorchester, Boston, Suffolk County, Massachusetts, United States",Top Nominatim match,2026-02-21T22:25:14.616670+00:00
45,DORCHESTER,FOOD PANTRIES,Revision Urban Farm Stand,"1062 Blue Hill Ave, Franklin Field",Dorchester,MA,02124,,,"Fri 12 - 3pm, July 13 - Oct 12",,"1062 Blue Hill Ave, Franklin Field, Dorchester, MA 02124",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:25:15.697997+00:00
46,DORCHESTER,FOOD PANTRIES,Upham’s Corner Farmers Market,559 Columbia Rd.,Dorchester,MA,02125,,,"Alt. Wed 3 - 7pm, July 18 - Oct 17",,"559 Columbia Rd., Dorchester, MA 02125",42.3164634,-71.0660206,openstreetmap_nominatim,"559, Columbia Road, Uphams Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:16.786121+00:00
47,DORCHESTER,SENIOR DINING SITES,Kit Clark Dorchester Codman Apt.,784 Washington St,Boston,MA,02124,(617) 825-5000,,"Mon - Fri, 11am - 1pm",,"784 Washington St, Boston, MA 02124",42.2842078,-71.0709557,openstreetmap_nominatim,"Codman Square Apartments, 784;786, Washington Street, Ashmont, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Top Nominatim match,2026-02-21T22:25:17.862402+00:00
48,DORCHESTER,SENIOR DINING SITES,Kit Clark Ctr.,42 Charles St,Dorchester,MA,02122,(617) 825-5000,,"Mon - Fri, 11:30am - 1pm",,"42 Charles St, Dorchester, MA 02122",42.2999022,-71.0633636,openstreetmap_nominatim,"Vietnamese American Community Center (VACC), 36,36R,38,42,44,46, Charles Street, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:25:18.937590+00:00
49,DORCHESTER,SENIOR DINING SITES,Kit Clark Dorchester,1875 Dorchester Ave,Boston,MA,02124,(617) 825-5000,,"Mon - Fri, 11am - 12pm","Peabody Building,","1875 Dorchester Ave, Boston, MA 02124",42.2869104,-71.0642078,openstreetmap_nominatim,"1875, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Top Nominatim match,2026-02-21T22:25:20.021221+00:00
50,DORCHESTER,SENIOR DINING SITES,Kit Clark Dorchester,"151 Hallet St, Dorchester Center",Boston,MA,02124,(617) 825-5000,,"Mon, Thu & Fri 11am - 1pm",Keystone Apt.,"151 Hallet St, Dorchester Center, Boston, MA 02124",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:25:21.129507+00:00
51,DORCHESTER,SENIOR DINING SITES,Fresh Truck at,100 Ames St,Boston,MA,02124,(617) 297-7685,,Wed 3 - 6pm,Franklin Field BHA,"100 Ames St, Boston, MA 02124",42.290196,-71.0827431,openstreetmap_nominatim,"100, Ames Street, Franklin Field Apartments, Mattapan, Boston, Suffolk County, Massachusetts, 02126, United States",Top Nominatim match,2026-02-21T22:25:22.215487+00:00
52,DORCHESTER,SENIOR DINING SITES,Bowdoin Street Health Center,230 Bowdoin St,Dorchester,MA,02125,,,Tue 12 - 3pm,,"230 Bowdoin St, Dorchester, MA 02125",42.305687,-71.067846,openstreetmap_nominatim,"230, Bowdoin Street, Mount Ida, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States",Top Nominatim match,2026-02-21T22:25:23.293001+00:00
53,DORCHESTER,SENIOR DINING SITES,Fair Foods at Franklin Field,100 Ames St,Boston,MA,02124,(617) 288-6185,,Thu 4:30 - 5:30pm,Senior Center,"100 Ames St, Boston, MA 02124",42.290196,-71.0827431,openstreetmap_nominatim,"100, Ames Street, Franklin Field Apartments, Mattapan, Boston, Suffolk County, Massachusetts, 02126, United States",Cached result,2026-02-21T22:25:24.299984+00:00
54,DORCHESTER,SENIOR DINING SITES,Fair Foods at Bellflower Apt.,24 Bellflower St. Dorchester,,MA,,(617) 288-6185,,Alt. Fri 1 - 2pm,,"24 Bellflower St. Dorchester, MA 02125",42.3242144,-71.0589063,openstreetmap_nominatim,"Bellflower Court, 24, Bellflower Street, Dorchester, Boston, Suffolk County, Massachusetts, 02125, United States",Top Nominatim match,2026-02-21T22:25:24.405021+00:00
55,DORCHESTER,SENIOR DINING SITES,Fair Foods at Peabody,1875 Dorchester Ave,Boston,MA,02124,(617) 288-6185,,Alt. Tue 3 - 5pm,Englewood Apt.,"1875 Dorchester Ave, Boston, MA 02124",42.2869104,-71.0642078,openstreetmap_nominatim,"1875, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States",Cached result,2026-02-21T22:25:25.412672+00:00
