geoid,county,tract,snap_rate,total_households,snap_households
25025000101,Suffolk,000101,0.07543859649122807,570,43
25025000102,Suffolk,000102,0.24113475177304963,1551,374
25025000201,Suffolk,000201,0.05817028027498678,1891,110
25025000202,Suffolk,000202,0.13049180327868853,1525,199
25025000301,Suffolk,000301,0.023549201009251473,1189,28
25025000302,Suffolk,000302,0.07227138643067847,1356,98
25025000401,Suffolk,000401,0.17702513966480446,2864,507
25025000402,Suffolk,000402,0.02850877192982456,1368,39
25025000502,Suffolk,000502,0.06227544910179641,1670,104
25025000503,Suffolk,000503,0.03460514640638864,1127,39
25025000505,Suffolk,000505,0.20883164673413063,1087,227
25025000506,Suffolk,000506,0.15469208211143695,1364,211
25025000601,Suffolk,000601,0.0381328073635766,1521,58
25025000603,Suffolk,000603,0.2892209178228389,937,271
25025000604,Suffolk,000604,0.09298245614035087,1140,106
25025000701,Suffolk,000701,0.07015857760691975,2081,146
25025000703,Suffolk,000703,0.05,980,49
25025000704,Suffolk,000704,0.05233380480905234,2121,111
25025000804,Suffolk,000804,0.17857142857142858,1232,220
25025000805,Suffolk,000805,0.06728704366499642,1397,94
25025000806,Suffolk,000806,0.0,758,0
25025010103,Suffolk,010103,0.0213903743315508,374,8
25025010104,Suffolk,010104,0.09205776173285199,1662,153
25025010204,Suffolk,010204,0.02862595419847328,1048,30
25025010205,Suffolk,010205,0.061875480399692546,2602,161
25025010206,Suffolk,010206,0.058493589743589744,1248,73
25025010300,Suffolk,010300,0.08438818565400844,237,20
25025010403,Suffolk,010403,0.09948246118458884,1739,173
25025010404,Suffolk,010404,0.07229894394800974,1231,89
25025010405,Suffolk,010405,0.4430992736077482,826,366
25025010408,Suffolk,010408,0.08409090909090909,880,74
25025010500,Suffolk,010500,0.08285385500575373,1738,144
25025010600,Suffolk,010600,0.08217203267659778,2081,171
25025010701,Suffolk,010701,0.003834355828220859,1304,5
25025010702,Suffolk,010702,0.04840032813781788,1219,59
25025010801,Suffolk,010801,0.007623888182973317,1574,12
25025010802,Suffolk,010802,0.020493956910141883,1903,39
25025020101,Suffolk,020101,0.0,2487,0
25025020200,Suffolk,020200,0.0891812865497076,2052,183
25025020301,Suffolk,020301,0.0764381402679275,1269,97
25025020302,Suffolk,020302,0.08514190317195326,599,51
25025020304,Suffolk,020304,0.012345679012345678,729,9
25025020305,Suffolk,020305,0.14688128772635814,1988,292
25025030100,Suffolk,030100,0.020525451559934318,1218,25
25025030200,Suffolk,030200,0.08950617283950617,972,87
25025030301,Suffolk,030301,0.018633540372670808,805,15
25025030302,Suffolk,030302,0.06774193548387097,930,63
25025030400,Suffolk,030400,0.05930735930735931,2310,137
25025030500,Suffolk,030500,0.05300077942322681,1283,68
25025040100,Suffolk,040100,0.0978441127694859,1206,118
25025040200,Suffolk,040200,0.2688679245283019,636,171
25025040300,Suffolk,040300,0.07237746220797069,2183,158
25025040401,Suffolk,040401,0.12590799031476999,1239,156
25025040600,Suffolk,040600,0.08291873963515754,1809,150
25025040801,Suffolk,040801,0.1977294228949858,2114,418
25025050101,Suffolk,050101,0.3093126385809313,1804,558
25025050200,Suffolk,050200,0.17189249720044794,1786,307
25025050300,Suffolk,050300,0.30550621669627,1689,516
25025050400,Suffolk,050400,0.06200787401574803,1016,63
25025050500,Suffolk,050500,0.030272452068617558,991,30
25025050600,Suffolk,050600,0.10776942355889724,798,86
25025050700,Suffolk,050700,0.15060975609756097,1640,247
25025050901,Suffolk,050901,0.11521739130434783,1380,159
25025051000,Suffolk,051000,0.15541211519364448,2014,313
25025051101,Suffolk,051101,0.10742857142857143,2625,282
25025051200,Suffolk,051200,0.051712992889463474,1547,80
25025060101,Suffolk,060101,0.006318207926479035,1741,11
25025060200,Suffolk,060200,0.01040582726326743,961,10
25025060301,Suffolk,060301,0.037037037037037035,1701,63
25025060400,Suffolk,060400,0.031932773109243695,2380,76
25025060501,Suffolk,060501,0.024536805207811718,1997,49
25025060601,Suffolk,060601,0.044381491973559964,1059,47
25025060602,Suffolk,060602,0.026936026936026935,297,8
25025060603,Suffolk,060603,0.013513513513513514,814,11
25025060604,Suffolk,060604,0.01350621285791464,1851,25
25025060700,Suffolk,060700,0.4053751399776036,893,362
25025060800,Suffolk,060800,0.06766575840145322,2202,149
25025061000,Suffolk,061000,0.3162118780096308,1246,394
25025061101,Suffolk,061101,0.5162393162393163,1170,604
25025061201,Suffolk,061201,0.011389521640091117,878,10
25025061203,Suffolk,061203,0.014431239388794566,1178,17
25025061204,Suffolk,061204,0.016339869281045753,612,10
25025070102,Suffolk,070102,0.2894248608534323,1078,312
25025070103,Suffolk,070103,0.12585034013605442,294,37
25025070104,Suffolk,070104,0.033987915407854986,1324,45
25025070201,Suffolk,070201,0.3188405797101449,966,308
25025070202,Suffolk,070202,0.20273455917020272,2121,430
25025070301,Suffolk,070301,0.04883720930232558,1290,63
25025070302,Suffolk,070302,0.26755555555555555,1125,301
25025070402,Suffolk,070402,0.31229050279329607,1790,559
25025070501,Suffolk,070501,0.021105527638190954,995,21
25025070502,Suffolk,070502,0.2505020080321285,1992,499
25025070600,Suffolk,070600,0.008880994671403197,1126,10
25025070700,Suffolk,070700,0.09821428571428571,1568,154
25025070801,Suffolk,070801,0.1624087591240876,548,89
25025070802,Suffolk,070802,0.08540685944855414,1487,127
25025070901,Suffolk,070901,0.3837920489296636,654,251
25025070902,Suffolk,070902,0.18632958801498128,1068,199
25025071101,Suffolk,071101,0.2094843462246777,2172,455
25025071201,Suffolk,071201,0.2707150964812713,1762,477
25025080100,Suffolk,080100,0.335149863760218,734,246
25025080300,Suffolk,080300,0.3844515441959531,939,361
25025080401,Suffolk,080401,0.41892832289492,1437,602
25025080500,Suffolk,080500,0.38396349413298564,1534,589
25025080601,Suffolk,080601,0.3988439306358382,692,276
25025080801,Suffolk,080801,0.5710616438356164,1168,667
25025080900,Suffolk,080900,0.021397105097545627,1589,34
25025081001,Suffolk,081001,0.3312933496532028,2451,812
25025081101,Suffolk,081101,0.041720990873533245,767,32
25025081102,Suffolk,081102,0.13205907906168549,1151,152
25025081200,Suffolk,081200,0.5296875,1280,678
25025081301,Suffolk,081301,0.5654450261780105,1146,648
25025081302,Suffolk,081302,0.5883977900552486,1086,639
25025081400,Suffolk,081400,0.2379471228615863,1286,306
25025081500,Suffolk,081500,0.2744323790720632,1013,278
25025081700,Suffolk,081700,0.4033653846153846,2080,839
25025081800,Suffolk,081800,0.4003103180760279,1289,516
25025081900,Suffolk,081900,0.2673656618610747,1526,408
25025082000,Suffolk,082000,0.3850837138508371,1314,506
25025082100,Suffolk,082100,0.498415572657311,2209,1101
25025090100,Suffolk,090100,0.4548254620123203,1948,886
25025090200,Suffolk,090200,0.5183673469387755,735,381
25025090300,Suffolk,090300,0.4444444444444444,1125,500
25025090400,Suffolk,090400,0.5154884829229547,1259,649
25025090600,Suffolk,090600,0.25504151838671413,843,215
25025090700,Suffolk,090700,0.20861797162375198,1903,397
25025090901,Suffolk,090901,0.26455787203450754,1391,368
25025091001,Suffolk,091001,0.16301369863013698,1460,238
25025091100,Suffolk,091100,0.13598326359832635,1912,260
25025091200,Suffolk,091200,0.2514011208967174,1249,314
25025091300,Suffolk,091300,0.4190260475651189,883,370
25025091400,Suffolk,091400,0.37727666955767564,1153,435
25025091500,Suffolk,091500,0.24772431729518857,1538,381
25025091600,Suffolk,091600,0.3187984496124031,1032,329
25025091700,Suffolk,091700,0.27537688442211056,995,274
25025091800,Suffolk,091800,0.34801762114537443,1362,474
25025091900,Suffolk,091900,0.3803418803418803,1404,534
25025092000,Suffolk,092000,0.24486486486486486,1850,453
25025092101,Suffolk,092101,0.13864942528735633,2784,386
25025092200,Suffolk,092200,0.20320855614973263,1122,228
25025092300,Suffolk,092300,0.3228813559322034,1180,381
25025092400,Suffolk,092400,0.5416078984485191,2127,1152
25025100100,Suffolk,100100,0.4934210526315789,1976,975
25025100200,Suffolk,100200,0.39961575408261285,1041,416
25025100300,Suffolk,100300,0.30286168521462636,1258,381
25025100400,Suffolk,100400,0.2538584353379457,1879,477
25025100500,Suffolk,100500,0.3348467650397276,2643,885
25025100601,Suffolk,100601,0.23295985060690944,2142,499
25025100603,Suffolk,100603,0.09378531073446328,885,83
25025100700,Suffolk,100700,0.06253369272237197,1855,116
25025100800,Suffolk,100800,0.23453700393278512,2797,656
25025100900,Suffolk,100900,0.21467556094602788,1649,354
25025101001,Suffolk,101001,0.19981751824817517,2192,438
25025101002,Suffolk,101002,0.3708061002178649,2295,851
25025101101,Suffolk,101101,0.2664647993943982,1321,352
25025101102,Suffolk,101102,0.43817052512704685,1771,776
25025110104,Suffolk,110104,0.2969230769230769,650,193
25025110105,Suffolk,110105,0.06405990016638935,1202,77
25025110106,Suffolk,110106,0.0792838874680307,782,62
25025110201,Suffolk,110201,0.3143483023001095,913,287
25025110301,Suffolk,110301,0.13524590163934427,976,132
25025110401,Suffolk,110401,0.29645390070921984,1410,418
25025110403,Suffolk,110403,0.15091210613598674,1809,273
25025110501,Suffolk,110501,0.026729559748427674,1272,34
25025110502,Suffolk,110502,0.15060588574725908,1733,261
25025110601,Suffolk,110601,0.024300441826215022,1358,33
25025110607,Suffolk,110607,0.07258460029426189,2039,148
25025120103,Suffolk,120103,0.02680965147453083,746,20
25025120104,Suffolk,120104,0.1267092069279854,1097,139
25025120105,Suffolk,120105,0.014629049111807733,957,14
25025120201,Suffolk,120201,0.051756885090218425,2106,109
25025120301,Suffolk,120301,0.1694997571636717,2059,349
25025120400,Suffolk,120400,0.15379449294828745,2978,458
25025120500,Suffolk,120500,0.10744580584354382,1061,114
25025120600,Suffolk,120600,0.0,1199,0
25025120700,Suffolk,120700,0.11452810180275716,943,108
25025130101,Suffolk,130101,0.04313871327631089,2689,116
25025130200,Suffolk,130200,0.04039301310043668,1832,74
25025130300,Suffolk,130300,0.022847100175746926,1707,39
25025130402,Suffolk,130402,0.1425233644859813,2140,305
25025130404,Suffolk,130404,0.11811594202898551,1380,163
25025130406,Suffolk,130406,0.3056179775280899,2225,680
25025140102,Suffolk,140102,0.1419753086419753,1782,253
25025140105,Suffolk,140105,0.1850187265917603,1335,247
25025140106,Suffolk,140106,0.3568665377176016,1034,369
25025140107,Suffolk,140107,0.2946817785527463,1147,338
25025140201,Suffolk,140201,0.08862034239677745,993,88
25025140202,Suffolk,140202,0.11073500967117988,2068,229
25025140300,Suffolk,140300,0.23135685703892325,2749,636
25025140400,Suffolk,140400,0.20933246921581336,3086,646
25025160102,Suffolk,160102,0.19759450171821305,1164,230
25025160103,Suffolk,160103,0.2804979253112033,1205,338
25025160200,Suffolk,160200,0.27354627354627353,1221,334
25025160300,Suffolk,160300,0.22573363431151242,1329,300
25025160400,Suffolk,160400,0.12046543463381246,1461,176
25025160501,Suffolk,160501,0.23236935565702688,1971,458
25025160502,Suffolk,160502,0.2510775862068966,1856,466
25025160601,Suffolk,160601,0.18351577591757887,1553,285
25025160602,Suffolk,160602,0.19557195571955718,1626,318
25025170101,Suffolk,170101,0.13452914798206278,1115,150
25025170102,Suffolk,170102,0.18888186986734049,1583,299
25025170200,Suffolk,170200,0.2793814432989691,1940,542
25025170301,Suffolk,170301,0.09969788519637462,1986,198
25025170302,Suffolk,170302,0.07009345794392523,1712,120
25025170400,Suffolk,170400,0.19393939393939394,1980,384
25025170502,Suffolk,170502,0.19356833642547927,1617,313
25025170503,Suffolk,170503,0.1527165932452276,681,104
25025170504,Suffolk,170504,0.10996835443037975,1264,139
25025170601,Suffolk,170601,0.16411378555798686,1828,300
25025170701,Suffolk,170701,0.17270788912579957,938,162
25025170702,Suffolk,170702,0.22667217175887697,2422,549
25025170800,Suffolk,170800,0.1095392077607114,2474,271
25025180101,Suffolk,180101,0.19261962692619627,2466,475
25025180200,Suffolk,180200,0.0660377358490566,1908,126
25025180301,Suffolk,180301,0.04208754208754209,1188,50
25025180400,Suffolk,180400,0.13079667063020214,841,110
25025180500,Suffolk,180500,0.06545454545454546,1925,126
25025980900,Suffolk,980900,0.19230769230769232,26,5
25025981000,Suffolk,981000,0.0,16,0
25025981100,Suffolk,981100,0.0,4,0
25025981300,Suffolk,981300,0.0,18,0
25025981800,Suffolk,981800,0.0,28,0
